 time            vin             Vr1             i(Vread)        hx              n1              n2              n3              n4              m1              m2              m3              m4              n.x9.xrstdp1.xr2.n1#ngap n.x9.xrstdp2.xr2.n1#ngap n.x9.xrstdp3.xr2.n1#ngap n.x9.xrstdp4.xr2.n1#ngap n.x9.xrstdp5.xr2.n1#ngap n.x9.xrstdp6.xr2.n1#ngap n.x9.xrstdp7.xr2.n1#ngap n.x9.xrstdp8.xr2.n1#ngap n.x9.xrstdp9.xr2.n1#ngap n.x9.xrstdp10.xr2.n1#ngap n.x9.xrstdp11.xr2.n1#ngap n.x9.xrstdp12.xr2.n1#ngap n.x9.xrstdp13.xr2.n1#ngap n.x9.xrstdp14.xr2.n1#ngap n.x9.xrstdp15.xr2.n1#ngap
 3.05600000e-07  1.40921545e+00  2.88610077e-03  8.06500294e-07  7.25836631e-03  2.39132004e-06  6.73727158e-07  2.43744777e-06  7.19161712e-07 -8.77999836e-07  1.11459015e-06 -8.77998469e-07  1.11444412e-06  9.39545572e-01  9.36543257e-01  9.39545830e-01  9.36543279e-01  9.65602526e-01  9.75003669e-01  9.65602518e-01  9.75003693e-01  9.39514277e-01  9.36600737e-01  9.39514276e-01  9.36600777e-01  9.65598729e-01  9.75023697e-01  9.65598730e-01 
 3.25600000e-07  1.40965786e+00  2.88610066e-03  8.06501221e-07  7.25839080e-03 -1.90232056e-06 -1.97562474e-07 -1.86249967e-06 -1.57002031e-07  1.33896518e-06 -6.38644590e-07  1.33896136e-06 -6.38498310e-07  9.39547578e-01  9.36545151e-01  9.39547837e-01  9.36545173e-01  9.65604331e-01  9.75005201e-01  9.65604323e-01  9.75005225e-01  9.39516285e-01  9.36602631e-01  9.39516283e-01  9.36602671e-01  9.65600533e-01  9.75025229e-01  9.65600534e-01 
 3.45600000e-07  1.41008056e+00  2.88610120e-03  8.06505992e-07  7.25841808e-03  2.36059225e-06  6.67380481e-07  2.40694900e-06  7.13281758e-07 -8.61553345e-07  1.10226221e-06 -8.61555965e-07  1.10211860e-06  9.39549750e-01  9.36547526e-01  9.39550009e-01  9.36547548e-01  9.65606028e-01  9.75006943e-01  9.65606019e-01  9.75006968e-01  9.39518457e-01  9.36605005e-01  9.39518456e-01  9.36605045e-01  9.65602231e-01  9.75026971e-01  9.65602231e-01 
 3.65600000e-07  1.41048356e+00  2.88610109e-03  8.06507044e-07  7.25844317e-03 -1.87198461e-06 -1.91436881e-07 -1.83127474e-06 -1.50221567e-07  1.32247151e-06 -6.26581324e-07  1.32246853e-06 -6.26434504e-07  9.39551758e-01  9.36549424e-01  9.39552017e-01  9.36549445e-01  9.65607831e-01  9.75008476e-01  9.65607823e-01  9.75008501e-01  9.39520466e-01  9.36606902e-01  9.39520464e-01  9.36606942e-01  9.65604034e-01  9.75028503e-01  9.65604035e-01 
 3.85600000e-07  1.41086686e+00  2.88610164e-03  8.06511684e-07  7.25847012e-03  2.33029876e-06  6.61125842e-07  2.37688098e-06  7.07480027e-07 -8.45355774e-07  1.09010436e-06 -8.45352943e-07  1.08996312e-06  9.39553928e-01  9.36551795e-01  9.39554187e-01  9.36551816e-01  9.65609529e-01  9.75010217e-01  9.65609520e-01  9.75010242e-01  9.39522637e-01  9.36609272e-01  9.39522636e-01  9.36609312e-01  9.65605731e-01  9.75030244e-01  9.65605733e-01 
 4.05600000e-07  1.41123047e+00  2.88610152e-03  8.06512843e-07  7.25849453e-03 -1.84208581e-06 -1.85395242e-07 -1.80049492e-06 -1.43542004e-07  1.30622160e-06 -6.14681631e-07  1.30621790e-06 -6.14541681e-07  9.39555937e-01  9.36553696e-01  9.39556196e-01  9.36553717e-01  9.65611331e-01  9.75011752e-01  9.65611322e-01  9.75011777e-01  9.39524646e-01  9.36611172e-01  9.39524645e-01  9.36611213e-01  9.65607534e-01  9.75031778e-01  9.65607535e-01 
 4.25600000e-07  1.41157441e+00  2.88610207e-03  8.06517383e-07  7.25852166e-03  2.30043657e-06  6.54953831e-07  2.34723119e-06  7.01763028e-07 -8.29397774e-07  1.07811611e-06 -8.29396418e-07  1.07797431e-06  9.39558106e-01  9.36556063e-01  9.39558366e-01  9.36556085e-01  9.65613030e-01  9.75013492e-01  9.65613021e-01  9.75013517e-01  9.39526816e-01  9.36613539e-01  9.39526815e-01  9.36613580e-01  9.65609232e-01  9.75033518e-01  9.65609234e-01 
 4.45600000e-07  1.41189869e+00  2.88610195e-03  8.06518666e-07  7.25854745e-03 -1.81260514e-06 -1.79443004e-07 -1.77015751e-06 -1.36964247e-07  1.29020792e-06 -6.02947811e-07  1.29020811e-06 -6.02808517e-07  9.39560117e-01  9.36557968e-01  9.39560376e-01  9.36557989e-01  9.65614831e-01  9.75015028e-01  9.65614822e-01  9.75015053e-01  9.39528827e-01  9.36615443e-01  9.39528826e-01  9.36615483e-01  9.65611033e-01  9.75035053e-01  9.65611035e-01 
 4.65600000e-07  1.41220331e+00  2.88610249e-03  8.06523105e-07  7.25857478e-03  2.27100005e-06  6.48874293e-07  2.31800144e-06  6.96120710e-07 -8.13675026e-07  1.06629440e-06 -8.13674577e-07  1.06615309e-06  9.39562285e-01  9.36560332e-01  9.39562544e-01  9.36560353e-01  9.65616530e-01  9.75016766e-01  9.65616522e-01  9.75016791e-01  9.39530996e-01  9.36617806e-01  9.39530995e-01  9.36617846e-01  9.65612732e-01  9.75036790e-01  9.65612734e-01 
 4.85600000e-07  1.41248829e+00  2.88610239e-03  8.06524509e-07  7.25859803e-03 -1.78355320e-06 -1.73576674e-07 -1.74025671e-06 -1.30482115e-07  1.27443281e-06 -5.91378143e-07  1.27443255e-06 -5.91243201e-07  9.39564296e-01  9.36562239e-01  9.39564555e-01  9.36562261e-01  9.65618331e-01  9.75018304e-01  9.65618323e-01  9.75018328e-01  9.39533007e-01  9.36619713e-01  9.39533006e-01  9.36619753e-01  9.65614533e-01  9.75038327e-01  9.65614535e-01 
 5.05600000e-07  1.41275365e+00  2.88610293e-03  8.06528840e-07  7.25862565e-03  2.24198369e-06  6.42883731e-07  2.28918445e-06  6.90555761e-07 -7.98185216e-07  1.05463708e-06 -7.98182681e-07  1.05449923e-06  9.39566463e-01  9.36564600e-01  9.39566722e-01  9.36564622e-01  9.65620031e-01  9.75020040e-01  9.65620022e-01  9.75020065e-01  9.39535175e-01  9.36622073e-01  9.39535174e-01  9.36622114e-01  9.65616234e-01  9.75040064e-01  9.65616236e-01 
